ds,public.added_tweets,public.followers,public.follows,public.tweets,public.user_profiles
1650325549.7233856,507904,73728,73728,3858432,73728
1650325549.8245568,507904,73728,73728,3858432,73728
1650325549.9257042,516096,73728,73728,3858432,73728
1650325550.026827,516096,73728,73728,3858432,73728
1650325550.1279888,516096,73728,73728,3858432,73728
1650325550.229159,516096,73728,73728,3858432,73728
1650325550.3335884,516096,73728,73728,3858432,73728
1650325550.434964,516096,73728,73728,3858432,73728
1650325550.5361629,516096,73728,73728,3858432,73728
1650325550.6375494,524288,73728,73728,3858432,73728
1650325550.73888,524288,73728,73728,3858432,73728
1650325550.8400407,524288,73728,73728,3858432,73728
1650325550.9411757,524288,73728,73728,3858432,73728
1650325551.0422971,524288,73728,73728,3858432,73728
1650325551.1435516,524288,73728,73728,3858432,73728
1650325551.24505,532480,73728,73728,3858432,73728
1650325551.346516,532480,73728,73728,3858432,73728
1650325551.4479957,532480,73728,73728,3858432,73728
1650325551.5495212,532480,73728,73728,3858432,73728
1650325551.6509914,532480,73728,73728,3858432,73728
1650325551.7520852,532480,73728,73728,3858432,73728
1650325551.8532395,540672,73728,73728,3858432,73728
1650325551.9543638,540672,73728,73728,3858432,73728
1650325552.0556383,540672,73728,73728,3858432,73728
1650325552.1568806,540672,73728,73728,3858432,73728
1650325552.258372,540672,73728,73728,3858432,73728
1650325552.3598511,548864,73728,73728,3858432,73728
1650325552.4613175,548864,73728,73728,3858432,73728
1650325552.5625863,548864,73728,73728,3858432,73728
1650325552.6637459,548864,73728,73728,3858432,73728
1650325552.7649276,548864,73728,73728,3858432,73728
1650325552.8660562,557056,73728,73728,3858432,73728
1650325552.9675283,557056,73728,73728,3858432,73728
1650325553.0685983,557056,73728,73728,3858432,73728
1650325553.1697528,557056,73728,73728,3858432,73728
1650325553.2708967,557056,73728,73728,3858432,73728
1650325553.3723516,565248,73728,73728,3858432,73728
1650325553.473825,565248,73728,73728,3858432,73728
1650325553.5752175,565248,73728,73728,3858432,73728
1650325553.6764002,565248,73728,73728,3858432,73728
1650325553.777902,565248,73728,73728,3858432,73728
1650325553.8793662,573440,73728,73728,3858432,73728
1650325553.9804854,573440,73728,73728,3858432,73728
1650325554.081892,573440,73728,73728,3858432,73728
1650325554.183414,573440,73728,73728,3858432,73728
1650325554.284892,573440,73728,73728,3858432,73728
1650325554.3860176,573440,73728,73728,3858432,73728
1650325554.4871657,581632,73728,73728,3858432,73728
1650325554.588643,581632,73728,73728,3858432,73728
1650325554.6899745,581632,73728,73728,3858432,73728
1650325554.7912705,581632,73728,73728,3858432,73728
1650325554.8925953,589824,73728,73728,3858432,73728
1650325554.9937937,589824,73728,73728,3858432,73728
1650325555.0953085,589824,73728,73728,3858432,73728
1650325555.196728,589824,73728,73728,3858432,73728
1650325555.297973,598016,73728,73728,3858432,73728
1650325555.3991435,598016,73728,73728,3858432,73728
1650325555.5004768,598016,73728,73728,3858432,73728
1650325555.6015632,598016,73728,73728,3858432,73728
1650325555.7026274,598016,73728,73728,3858432,73728
1650325555.8036747,598016,73728,73728,3858432,73728
1650325555.9048264,606208,73728,73728,3858432,73728
1650325556.0058672,606208,73728,73728,3858432,73728
1650325556.1070023,606208,73728,73728,3858432,73728
1650325556.208397,606208,73728,73728,3858432,73728
1650325556.3097372,606208,73728,73728,3858432,73728
1650325556.411096,614400,73728,73728,3858432,73728
1650325556.512476,614400,73728,73728,3858432,73728
1650325556.6137943,614400,73728,73728,3858432,73728
1650325556.71514,614400,73728,73728,3858432,73728
1650325556.8165047,614400,73728,73728,3858432,73728
1650325556.917853,622592,73728,73728,3858432,73728
1650325557.0191956,622592,73728,73728,3858432,73728
1650325557.1206696,622592,73728,73728,3858432,73728
1650325557.222185,622592,73728,73728,3858432,73728
1650325557.3234842,622592,73728,73728,3858432,73728
1650325557.4248698,630784,73728,73728,3858432,73728
1650325557.5261564,630784,73728,73728,3858432,73728
1650325557.6274967,630784,73728,73728,3858432,73728
1650325557.728944,630784,73728,73728,3858432,73728
1650325557.8302844,630784,73728,73728,3858432,73728
1650325557.931533,630784,73728,73728,3858432,73728
1650325558.0328794,638976,73728,73728,3858432,73728
1650325558.1340222,638976,73728,73728,3858432,73728
1650325558.235111,638976,73728,73728,3858432,73728
1650325558.3362706,638976,73728,73728,3858432,73728
1650325558.4374247,638976,73728,73728,3858432,73728
1650325558.5388794,647168,73728,73728,3858432,73728
1650325558.6402998,647168,73728,73728,3858432,73728
1650325558.7414594,647168,73728,73728,3858432,73728
1650325558.8426187,647168,73728,73728,3858432,73728
1650325558.943903,647168,73728,73728,3858432,73728
1650325559.045325,647168,73728,73728,3858432,73728
1650325559.1465433,655360,73728,73728,3858432,73728
1650325559.2480416,655360,73728,73728,3858432,73728
1650325559.3495426,655360,73728,73728,3858432,73728
1650325559.4506607,655360,73728,73728,3858432,73728
1650325559.5517833,663552,73728,73728,3858432,73728
1650325559.653292,663552,73728,73728,3858432,73728
1650325559.754796,663552,73728,73728,3858432,73728
1650325559.8559961,663552,73728,73728,3858432,73728
1650325559.9575207,663552,73728,73728,3858432,73728
1650325560.0588872,671744,73728,73728,3858432,73728
1650325560.1600997,671744,73728,73728,3858432,73728
1650325560.2612646,671744,73728,73728,3858432,73728
1650325560.3624241,671744,73728,73728,3858432,73728
1650325560.4635096,671744,73728,73728,3858432,73728
1650325560.5647054,679936,73728,73728,3858432,73728
1650325560.665873,679936,73728,73728,3858432,73728
1650325560.7669797,679936,73728,73728,3858432,73728
1650325560.8680947,679936,73728,73728,3858432,73728
1650325560.9695895,679936,73728,73728,3858432,73728
1650325561.070931,688128,73728,73728,3858432,73728
1650325561.1724384,688128,73728,73728,3858432,73728
1650325561.2737687,688128,73728,73728,3858432,73728
1650325561.375305,688128,73728,73728,3858432,73728
1650325561.4768195,688128,73728,73728,3858432,73728
1650325561.5782876,696320,73728,73728,3858432,73728
1650325561.6798012,696320,73728,73728,3858432,73728
1650325561.7810397,696320,73728,73728,3858432,73728
1650325561.8821187,696320,73728,73728,3858432,73728
1650325561.9832637,696320,73728,73728,3858432,73728
1650325562.0844886,696320,73728,73728,3858432,73728
1650325562.1860101,704512,73728,73728,3858432,73728
1650325562.2874749,704512,73728,73728,3858432,73728
1650325562.3886452,704512,73728,73728,3858432,73728
1650325562.4897118,704512,73728,73728,3858432,73728
1650325562.5907865,704512,73728,73728,3858432,73728
1650325562.6919131,712704,73728,73728,3858432,73728
1650325562.793108,712704,73728,73728,3858432,73728
1650325562.894432,712704,73728,73728,3858432,73728
1650325562.9956307,712704,73728,73728,3858432,73728
1650325563.0970855,712704,73728,73728,3858432,73728
1650325563.198249,720896,73728,73728,3858432,73728
1650325563.2994921,720896,73728,73728,3858432,73728
1650325563.4006631,720896,73728,73728,3858432,73728
1650325563.501794,720896,73728,73728,3858432,73728
1650325563.603201,720896,73728,73728,3858432,73728
1650325563.7047129,729088,73728,73728,3858432,73728
1650325563.806199,729088,73728,73728,3858432,73728
1650325563.9076176,729088,73728,73728,3858432,73728
1650325564.0088048,729088,73728,73728,3858432,73728
1650325564.1099646,729088,73728,73728,3858432,73728
1650325564.211301,729088,73728,73728,3858432,73728
1650325564.312432,729088,73728,73728,3858432,73728
1650325564.413902,729088,73728,73728,3858432,73728
1650325564.5150669,737280,73728,73728,3858432,73728
1650325564.61626,737280,73728,73728,3858432,73728
1650325564.717396,737280,73728,73728,3858432,73728
1650325564.8187556,737280,73728,73728,3858432,73728
1650325564.9200938,737280,73728,73728,3858432,73728
1650325565.021256,745472,73728,73728,3858432,73728
1650325565.122417,745472,73728,73728,3858432,73728
1650325565.2235513,745472,73728,73728,3858432,73728
1650325565.3246868,745472,73728,73728,3858432,73728
1650325565.426172,745472,73728,73728,3858432,73728
1650325565.5275335,753664,73728,73728,3858432,73728
1650325565.6286876,753664,73728,73728,3858432,73728
1650325565.7298796,753664,73728,73728,3858432,73728
1650325565.8311205,753664,73728,73728,3858432,73728
1650325565.9322453,761856,73728,73728,3858432,73728
1650325566.0337114,761856,73728,73728,3858432,73728
1650325566.134885,761856,73728,73728,3858432,73728
1650325566.2359793,761856,73728,73728,3858432,73728
1650325566.3374538,761856,73728,73728,3858432,73728
1650325566.4385536,770048,73728,73728,3858432,73728
1650325566.5396626,770048,73728,73728,3858432,73728
1650325566.6408532,770048,73728,73728,3858432,73728
1650325566.7419803,770048,73728,73728,3858432,73728
1650325566.8433144,770048,73728,73728,3858432,73728
1650325566.9444554,778240,73728,73728,3858432,73728
1650325567.0456457,778240,73728,73728,3858432,73728
1650325567.1471393,778240,73728,73728,3858432,73728
1650325567.248257,778240,73728,73728,3858432,73728
1650325567.3494065,778240,73728,73728,3858432,73728
1650325567.450725,786432,73728,73728,3858432,73728
1650325567.5520365,786432,73728,73728,3858432,73728
1650325567.653392,786432,73728,73728,3858432,73728
1650325567.7546456,786432,73728,73728,3858432,73728
1650325567.8558366,794624,73728,73728,3858432,73728
1650325567.9571152,794624,73728,73728,3858432,73728
1650325568.0584679,794624,73728,73728,3858432,73728
1650325568.159619,794624,73728,73728,3858432,73728
1650325568.2607906,794624,73728,73728,3858432,73728
1650325568.3622656,794624,73728,73728,3858432,73728
1650325568.4636037,802816,73728,73728,3858432,73728
1650325568.5649767,802816,73728,73728,3858432,73728
1650325568.6663005,802816,73728,73728,3858432,73728
1650325568.7678063,802816,73728,73728,3858432,73728
1650325568.8692946,802816,73728,73728,3858432,73728
1650325568.9706306,811008,73728,73728,3858432,73728
1650325569.0718753,811008,73728,73728,3858432,73728
1650325569.173186,811008,73728,73728,3858432,73728
1650325569.2745554,811008,73728,73728,3858432,73728
1650325569.3759246,819200,73728,73728,3858432,73728
1650325569.477112,819200,73728,73728,3858432,73728
1650325569.5782464,819200,73728,73728,3858432,73728
1650325569.67969,819200,73728,73728,3858432,73728
1650325569.7808485,827392,73728,73728,3858432,73728
1650325569.8819408,827392,73728,73728,3858432,73728
1650325569.9832616,827392,73728,73728,3858432,73728
1650325570.0847454,827392,73728,73728,3858432,73728
1650325570.185869,827392,73728,73728,3858432,73728
1650325570.2869759,827392,73728,73728,3858432,73728
1650325570.388433,835584,73728,73728,3858432,73728
1650325570.489927,835584,73728,73728,3858432,73728
1650325570.5914385,835584,73728,73728,3858432,73728
1650325570.6925993,835584,73728,73728,3858432,73728
1650325570.793728,835584,73728,73728,3858432,73728
1650325570.8951123,843776,73728,73728,3858432,73728
1650325570.9964378,843776,73728,73728,3858432,73728
1650325571.0975802,843776,73728,73728,3858432,73728
1650325571.19903,843776,73728,73728,3858432,73728
1650325571.3005137,843776,73728,73728,3858432,73728
1650325571.4016895,843776,73728,73728,3858432,73728
1650325571.5031576,851968,73728,73728,3858432,73728
1650325571.604626,851968,73728,73728,3858432,73728
1650325571.7060566,851968,73728,73728,3858432,73728
1650325571.807507,860160,73728,73728,3858432,73728
1650325571.908992,860160,73728,73728,3858432,73728
1650325572.0105145,860160,73728,73728,3858432,73728
1650325572.111681,860160,73728,73728,3858432,73728
1650325572.2128475,860160,73728,73728,3858432,73728
1650325572.3139982,868352,73728,73728,3858432,73728
1650325572.4151464,868352,73728,73728,3858432,73728
1650325572.516449,868352,73728,73728,3858432,73728
1650325572.617592,868352,73728,73728,3858432,73728
1650325572.7186837,868352,73728,73728,3858432,73728
1650325572.8198075,876544,73728,73728,3858432,73728
1650325572.920971,876544,73728,73728,3858432,73728
1650325573.0221062,876544,73728,73728,3858432,73728
1650325573.1235807,876544,73728,73728,3858432,73728
1650325573.2250965,876544,73728,73728,3858432,73728
1650325573.3262537,876544,73728,73728,3858432,73728
1650325573.427386,884736,73728,73728,3858432,73728
1650325573.528494,884736,73728,73728,3858432,73728
1650325573.6296513,884736,73728,73728,3858432,73728
1650325573.7308147,884736,73728,73728,3858432,73728
1650325573.8322842,884736,73728,73728,3858432,73728
1650325573.9334197,884736,73728,73728,3858432,73728
1650325574.0344734,892928,73728,73728,3858432,73728
1650325574.1357877,892928,73728,73728,3858432,73728
1650325574.2371707,892928,73728,73728,3858432,73728
1650325574.3385959,892928,73728,73728,3858432,73728
1650325574.4399252,892928,73728,73728,3858432,73728
1650325574.5412536,901120,73728,73728,3858432,73728
1650325574.6426046,901120,73728,73728,3858432,73728
1650325574.7439384,901120,73728,73728,3858432,73728
1650325574.8453808,901120,73728,73728,3858432,73728
1650325574.9465477,909312,73728,73728,3858432,73728
1650325575.0480006,909312,73728,73728,3858432,73728
1650325575.14953,909312,73728,73728,3858432,73728
1650325575.2506983,909312,73728,73728,3858432,73728
1650325575.352203,909312,73728,73728,3858432,73728
1650325575.4536374,917504,73728,73728,3858432,73728
1650325575.554755,917504,73728,73728,3858432,73728
1650325575.6560833,917504,73728,73728,3858432,73728
1650325575.757363,917504,73728,73728,3858432,73728
1650325575.8585136,917504,73728,73728,3858432,73728
1650325575.959892,917504,73728,73728,3858432,73728
1650325576.061344,925696,73728,73728,3858432,73728
1650325576.1628768,925696,73728,73728,3858432,73728
1650325576.2640243,925696,73728,73728,3858432,73728
1650325576.3651483,925696,73728,73728,3858432,73728
1650325576.4662275,925696,73728,73728,3858432,73728
1650325576.5677052,933888,73728,73728,3858432,73728
1650325576.669184,933888,73728,73728,3858432,73728
1650325576.7706504,933888,73728,73728,3858432,73728
1650325576.8721168,933888,73728,73728,3858432,73728
1650325576.9732487,942080,73728,73728,3858432,73728
1650325577.0748327,942080,73728,73728,3858432,73728
1650325577.1759276,942080,73728,73728,3858432,73728
1650325577.2772477,942080,73728,73728,3858432,73728
1650325577.3785973,950272,73728,73728,3858432,73728
1650325577.4799106,950272,73728,73728,3858432,73728
1650325577.5811112,950272,73728,73728,3858432,73728
1650325577.6824186,950272,73728,73728,3858432,73728
1650325577.7837186,950272,73728,73728,3858432,73728
1650325577.8850486,958464,73728,73728,3858432,73728
1650325577.9863918,958464,73728,73728,3858432,73728
1650325578.087864,958464,73728,73728,3858432,73728
1650325578.1893542,958464,73728,73728,3858432,73728
1650325578.2906957,958464,73728,73728,3858432,73728
1650325578.3921561,958464,73728,73728,3858432,73728
1650325578.4932973,966656,73728,73728,3858432,73728
1650325578.594749,966656,73728,73728,3858432,73728
1650325578.6958787,966656,73728,73728,3858432,73728
1650325578.797005,966656,73728,73728,3858432,73728
1650325578.8986158,966656,73728,73728,3858432,73728
1650325579.0002537,966656,73728,73728,3858432,73728
1650325579.1019251,966656,73728,73728,3858432,73728
1650325579.2035582,966656,73728,73728,3858432,73728
1650325579.3052619,966656,73728,73728,3858432,73728
1650325579.406901,966656,73728,73728,3858432,73728
1650325579.508583,966656,73728,73728,3858432,73728
1650325579.6102636,966656,73728,73728,3858432,73728
1650325579.7119358,966656,73728,73728,3858432,73728
1650325579.8136299,966656,73728,73728,3858432,73728
1650325579.9153066,966656,73728,73728,3858432,73728
1650325580.0170467,966656,73728,73728,3858432,73728
1650325580.1186926,966656,73728,73728,3858432,73728
1650325580.2204359,966656,73728,73728,3858432,73728
1650325580.3217213,966656,73728,73728,3858432,73728
1650325580.4228919,966656,73728,73728,3858432,73728
1650325580.5240383,966656,73728,73728,3858432,73728
1650325580.6253388,966656,73728,73728,3858432,73728
1650325580.726539,966656,73728,73728,3858432,73728
1650325580.8276918,966656,73728,73728,3858432,73728
1650325580.9288788,966656,73728,73728,3858432,73728
1650325581.0300782,966656,73728,73728,3858432,73728
1650325581.131316,966656,73728,73728,3858432,73728
1650325581.2325222,966656,73728,73728,3858432,73728
1650325581.333689,966656,73728,73728,3858432,73728
1650325581.4348524,966656,73728,73728,3858432,73728
1650325581.5360026,966656,73728,73728,3858432,73728
1650325581.63726,966656,73728,73728,3858432,73728
1650325581.7389207,966656,73728,73728,3858432,73728
1650325581.840557,966656,73728,73728,3858432,73728
1650325581.9421778,966656,73728,73728,3858432,73728
1650325582.0433807,966656,73728,73728,3858432,73728
